"title","imdbRating","ratingCount","year","nrOfUserReviews","nrOfGenre","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western"
"Glaubensfrage (2008)","7.5","80912",2008,302,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Das weiße Band - Eine deutsche Kindergeschichte (2009)","7.8","41551",2009,177,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Alles über Elly (2009)","8.2","14680",2009,29,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Das Zimmer meines Sohnes (2001)","7.4","12459",2001,82,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spider (2002)","6.9","25733",2002,205,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"So viele Jahre liebe ich dich (2008)","7.6","15364",2008,113,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Master & Commander - Bis ans Ende der Welt (2003)","7.4","140094",2003,671,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Die vier Federn (2002)","6.5","24173",2002,210,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Parks and Recreation Eagleton (TV Episode 2011)","8.3","308",2011,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Die Fälscher (2007)","7.6","30580",2007,116,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Der Stellvertreter (2002)","7.3","8712",2002,49,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"... A Father... A Son... Once Upon a Time in Hollywood (TV Movie 2005)","7.7","74",2005,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Tree of Life (2011)","6.7","108560",2011,932,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hereafter - Das Leben danach (2010)","6.5","69425",2010,310,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mission Hill Plan 9 from Mission Hill (or I Married a Gay Man from Outer Space) (TV Episode 2002)","7.4","42",2002,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gone Baby gone - Kein Kinderspiel (2007)","7.7","148683",2007,427,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Verblendung (2009)","7.8","139396",2009,282,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Michael Clayton (2007)","7.3","113526",2007,352,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
